Test Case ID,email,password,expected_status
TC_AUTH_01,valid_user@domain.com,Password123!,200
TC_AUTH_02,admin@domain.com,AdminPassword123!,200
TC_AUTH_03,user.name+tag@sub.domain.co,Password123!,200
TC_AUTH_04,VALID_USER@DOMAIN.COM,Password123!,200
TC_AUTH_05,user@domain.com,<128-char-valid-password>,200
TC_DP_01,testdomain.com,Password123!,400
TC_DP_02,test@,Password123!,400
TC_DP_03,@domain.com,Password123!,400
TC_DP_04,test@domain..com,Password123!,400
TC_DP_05,nonexistent_999@domain.com,Password123!,401
TC_DP_06,valid_user@domain.com,WrongPassword999!,401
TC_DP_07,valid_user@domain.com,password123!,401
TC_DP_08,valid_user@domain.com,P,400
TC_DP_09, valid_user@domain.com ,Password123!,200
TC_DP_10,valid_user@domain.com,Password123! ,401
TC_SCHEMA_02,test@domain.com,,400
TC_SCHEMA_04,,,400
TC_SCHEMA_05,null,null,400
TC_SCHEMA_06,12345,123456,400
TC_SCHEMA_07,true,false,400
TC_SCHEMA_08,"[""test@domain.com""]","{""val"": ""123""",400
TC_SCHEMA_09,valid_user@domain.com,Password123!,200
TC_SCHEMA_10,test@domain.com,Password123!,400
TC_STATE_01,unverified@domain.com,Password123!,403
TC_STATE_02,banned_user@domain.com,Password123!,403
TC_STATE_03,deleted_user@domain.com,Password123!,401
TC_STATE_05,temp_pw@domain.com,ExpiredTempPass1!,401
TC_SEC_01,' OR '1'='1,anything,400
TC_SEC_02,valid_user@domain.com,'; DROP TABLE users; --,401
TC_SEC_03,"{""$gt"": """"","{""$gt"": """"",400
TC_SEC_04,valid_user@domain.com,Password123!,200
TC_SEC_05,validuser@domain.com,Password123!,200
TC_SEC_06,valid_user@domain.com,Password123!,400
TC_SEC_07,valid_user@domain.com,Password123!,200
TC_EXT_03,user@domain.com,Password123!,200
